https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),27079,27079,649,649
Alagoas (AL),84508,84508,2019,2019
Amapá (AP),46863,46863,691,691
Amazonas (AM),131757,131757,3959,3959
Bahia (BA),295303,295303,6265,6265
Ceará (CE),233891,233818,8815,8813
Distrito Federal(DF),183749,183749,3062,3062
Espírito Santo (ES),124291,124291,3422,3422
Goiás (GO),183931,183815,4158,4152
Maranhão (MA),167657,167657,3653,3653
Mato Grosso (MT),112817,112607,3262,3231
Mato Grosso do Sul (MS),63848,63848,1172,1172
Minas Gerais (MG),270053,270053,6714,6714
Pará (PA),220775,220519,6468,6460
Paraíba (PB),116736,116736,2707,2707
Paraná (PR),165479,164888,4110,4110
Pernambuco (PE),141517,141517,8016,8016
Piauí (PI),90370,90370,2037,2037
Rio de Janeiro (RJ),251909,251909,17677,17677
Rio Grande do Norte (RN),67193,67184,2356,2351
Rio Grande do Sul (RS),174777,174777,4384,4384
Rondônia (RO),62863,62863,1300,1300
Roraima (RR),48302,48302,613,613
Santa Catarina (SC),205620,205620,2639,2639
São Paulo (SP),935300,935300,33952,33952
Sergipe (SE),75873,75873,1981,1981
Tocantins (TO),63423,63423,866,866
TOTAL,4545884,4544629,136947,136895